id,name,description,code,category,tag
1,Play Toca Quiz,Play Toca Quiz And Play Game,Play_Toca_Quiz,Educational,"Toca Town,Toca Boca,Toca World,Toca Hospital,Toca Quiz,Toca House "
2,Toca Coloring Game,Toca Life World Coloring book helps develop everyone's memory skills. Playing this easy coloring book will help them improve their color recognition while having fun With This Game.,Toca_Coloring_Game,Educational,"Toca Coloring Game, coloring games, Toca games, online coloring, kids coloring game, fun coloring, drawing game, art games, free coloring games, HTML5 coloring games"
3,Baby Panda Coloring Game,"Unleash your creativity with Baby Panda Coloring Game! This fun and engaging game lets kids explore their artistic side by coloring cute panda scenes. Perfect for young children, this game offers a simple, interactive way to learn colors and develop motor skills while having fun.",Baby_Panda_coloring_book,Educational,"Baby Panda Coloring Game, panda coloring, kids coloring game, online coloring, baby panda, educational games, fun for kids, coloring games, HTML5 games, drawing game"
4,Barbie Coloring Book,"Step into the world of fashion and creativity with Barbie Coloring Book! Bring your favorite Barbie characters and scenes to life with vibrant colors. Perfect for kids who love art and design, this fun and easy-to-play game lets you explore your imagination and create your own colorful Barbie masterpiece.",Barbie_Coloring_Book,Educational,"Barbie Coloring Book, Barbie coloring game, kids coloring games, Barbie games, online coloring, fashion coloring, drawing games, art games for kids, HTML5 coloring games, fun coloring"
5,Chibi Gacha Coloring,"Get ready to color your favorite Chibi Gacha characters in this fun and creative coloring game! Chibi Gacha Coloring lets you bring adorable characters to life with vibrant colors. Perfect for fans of anime-style art and gacha games, this game is ideal for kids and adults alike to express their creativity and relax.",Chibi_Gacha_Coloring,Educational,"Chibi Gacha Coloring, chibi coloring game, gacha coloring, anime coloring, drawing games, online coloring games, gacha games, art games, fun for kids, HTML5 coloring games"
6,Kids Colorigng Book,"Kids Coloring Book is a fun and educational game designed for young artists! Let your child explore their creativity with a variety of pictures to color, from animals to nature and more. Easy to use and perfect for developing motor skills and color recognition, this game offers endless hours of artistic fun for kids of all ages.",Kids_Colorigng_Book,Educational,"Kids Coloring Book, coloring games for kids, online coloring book, kids art games, educational coloring games, drawing games for children, HTML5 coloring games, fun coloring, kids creativity, interactive coloring book"
7,Princess Coloring Book,"Bring magical princesses to life with Princess Coloring Book! Choose from beautiful princess scenes and use your favorite colors to create your own fairy tale masterpiece. Perfect for kids who love fantasy, this fun and creative coloring game offers hours of artistic enjoyment while inspiring imagination and creativity.",Princess_Coloring_Book,Educational,"Princess Coloring Book, princess coloring game, kids coloring games, fantasy coloring, princess games, online coloring book, drawing games, fun for kids, HTML5 coloring games, creative games for girls"
8,Unicorn Coloring Book Game,"Unleash your imagination with Unicorn Coloring Book! Dive into a magical world filled with adorable unicorns and enchanting scenes waiting for your artistic touch. Perfect for kids who love fantasy and creativity, this delightful coloring game allows you to bring colorful dreams to life and express your unique style!",Unicorn_Coloring_Book,Educational,"Unicorn Coloring Book, unicorn coloring game, kids coloring games, fantasy coloring, online coloring book, drawing games, magical creatures, HTML5 coloring games, fun for kids, creative games"
9,Roblox Coloring Book,"Step into the creative world of Roblox with the Roblox Coloring Book! This fun and interactive coloring game lets fans bring their favorite Roblox characters and scenes to life with vibrant colors. Perfect for young gamers and artists, it’s a fantastic way to express creativity while enjoying the beloved Roblox universe!",Roblox_Coloring_Book,Educational,"Roblox Coloring Book, Roblox coloring game, kids coloring games, online coloring book, drawing games, Roblox characters, gaming art, HTML5 coloring games, fun for kids, creative games"
10,Minecraft Coloring Game,"Enter the blocky world of creativity with Minecraft Coloring! This fun coloring game allows players to color their favorite Minecraft characters, mobs, and landscapes. Perfect for fans of all ages, it encourages creativity and imagination while providing a relaxing way to express artistic flair in the iconic Minecraft style!",Minecraft_Coloring,Educational,"Minecraft Coloring, Minecraft coloring game, kids coloring games, online coloring book, drawing games, Minecraft characters, pixel art coloring, HTML5 coloring games, fun for kids, creative games"
